initCGM,output_cgm,state_Q2,state_S1,state_S2,state_I,state_X1,state_X2,state_X3,state_Ug,state_Ug2
118,-0.0004536901251412928,-0.6384608745574951,-0.2672175467014313,-0.6102234125137329,-0.5784357190132141,-0.6057832837104797,-0.5706039667129517,-0.5296880602836609,-0.0777609571814537,1.3624999523162842
119,0.011472918093204498,-0.631169319152832,-0.26718494296073914,-0.6125434637069702,-0.581108570098877,-0.6078556776046753,-0.573432207107544,-0.5322426557540894,-0.07784301787614822,1.3624999523162842
120,0.02339952625334263,-0.6237712502479553,-0.2672196924686432,-0.614638090133667,-0.5835226774215698,-0.609801709651947,-0.5759868025779724,-0.5345712304115295,-0.07792726904153824,1.3624999523162842
121,0.03532613441348076,-0.6163589358329773,-0.2671832740306854,-0.6167465448379517,-0.5859499573707581,-0.611735999584198,-0.5785494446754456,-0.5369536280632019,-0.07801124453544617,1.3624999523162842
122,0.04725274443626404,-0.608967125415802,-0.2671908736228943,-0.6188647747039795,-0.5883875489234924,-0.6136941909790039,-0.581122875213623,-0.539364218711853,-0.07809511572122574,1.3624999523162842
123,0.05917935445904732,-0.6015888452529907,-0.2672155797481537,-0.62105393409729,-0.5909097194671631,-0.6156757473945618,-0.5837859511375427,-0.5419153571128845,-0.07817824184894562,1.3624999523162842
124,0.0711059644818306,-0.5942099690437317,-0.26721879839897156,-0.6232660412788391,-0.5934591889381409,-0.6176607012748718,-0.5864782333374023,-0.544502317905426,-0.07826241105794907,1.3624999523162842
125,0.08303257077932358,-0.5868066549301147,-0.26720672845840454,-0.6254891157150269,-0.5960213541984558,-0.6196215748786926,-0.5891839265823364,-0.5470941066741943,-0.07834790647029877,1.3624999523162842
126,0.09495917707681656,-0.5793571472167969,-0.2671908736228943,-0.6277542114257812,-0.5986310839653015,-0.6214754581451416,-0.5919350385665894,-0.549746036529541,-0.07847797125577927,1.3624999523162842
127,0.10688578337430954,-0.5722953081130981,-0.26719191670417786,-0.6300107836723328,-0.6012309193611145,-0.6230307817459106,-0.5946796536445618,-0.5524777173995972,-0.0785999596118927,1.3624999523162842
128,0.11881239712238312,-0.5652174949645996,-0.2672087550163269,-0.6322979927062988,-0.6038674116134644,-0.6245630979537964,-0.5974602699279785,-0.5553255677223206,-0.07869842648506165,1.3624999523162842
129,0.1307390034198761,-0.5581458210945129,-0.26722046732902527,-0.6346209049224854,-0.6065455079078674,-0.6261187195777893,-0.6002833247184753,-0.5582547187805176,-0.0787958949804306,1.3624999523162842
130,0.14266560971736908,-0.5507283210754395,-0.26719093322753906,-0.6361724138259888,-0.6083322167396545,-0.6270629167556763,-0.6021777391433716,-0.5600205659866333,-0.07890317589044571,1.3624999523162842
131,0.15459221601486206,-0.5437243580818176,-0.26719874143600464,-0.6377526521682739,-0.6101557612419128,-0.6277475357055664,-0.6040962338447571,-0.5624010562896729,-0.07925879210233688,1.3624999523162842
132,0.16651883721351624,-0.5360520482063293,-0.2672184705734253,-0.6394137144088745,-0.6120602488517761,-0.6273829340934753,-0.6061654686927795,-0.5629693865776062,-0.079201839864254,1.3624999523162842
133,0.17844544351100922,-0.521271824836731,-0.26721057295799255,-0.6382823586463928,-0.6107315421104431,-0.6291269659996033,-0.6048720479011536,-0.5580956339836121,-0.07889023423194885,1.3624999523162842
134,0.1903720498085022,-0.5112138390541077,-0.2671855390071869,-0.6400193572044373,-0.6127318143844604,-0.6317840218544006,-0.606967568397522,-0.5601629018783569,-0.07876215875148773,1.3624999523162842
